SpawnGroupID,WaveID,SpawnDelaySec,RepeatCount,RepeatIntervalSec
string,string,float,float,float
STAGE_001_G01,STAGE_001_WAVE_01,0,1,0
STAGE_001_G02,STAGE_001_WAVE_01,0.5,2,1
STAGE_001_G03,STAGE_001_WAVE_02,0,1,0
STAGE_001_G04,STAGE_001_WAVE_03,0,1,0
STAGE_002_G01,STAGE_002_WAVE_01,0,1,0
STAGE_002_G02,STAGE_002_WAVE_01,0.5,2,1
STAGE_002_G03,STAGE_002_WAVE_02,0,1,0
STAGE_002_G04,STAGE_002_WAVE_03,0,1,0
STAGE_003_G01,STAGE_003_WAVE_01,0,1,0
STAGE_003_G02,STAGE_003_WAVE_01,0.5,2,1
STAGE_003_G03,STAGE_003_WAVE_02,0,1,0
STAGE_003_G04,STAGE_003_WAVE_03,0,1,0
,,,,
,,,,\
