grade,multiplier,weaponBudget,helmetBudget,glovesBudget,armorBudget,bootsBudget,beltBudget,necklaceBudget,ring1Budget,ring2Budget,totalBudget,
D,0.04,17.5,5,5,5,5,2.5,4,3,3,50,
C,0.07,30.625,8.75,8.75,8.75,8.75,4.375,7,5.25,5.25,87.5,
B,0.1,43.75,12.5,12.5,12.5,12.5,6.25,10,7.5,7.5,125,
A,0.3,131.25,37.5,37.5,37.5,37.5,18.75,30,22.5,22.5,375,
S,0.5,218.75,62.5,62.5,62.5,62.5,31.25,50,37.5,37.5,625,
SS,0.7,306.25,87.5,87.5,87.5,87.5,43.75,70,52.5,52.5,875,
EX,1,437.5,125,125,125,125,62.5,100,75,75,1250,
TR,1.3,568.75,162.5,162.5,162.5,162.5,81.25,130,97.5,97.5,1625,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
