Level,TargetDPS,MonsterHP_5s,BossHP_60s,BaseDPS,EquipBaseDPS,EnhanceDPS,SkillDPS,RuneDPS
1,20.,100.,1200.,4.,5.,4.,4.,3.
2,21.9620586328,109.810293164,1317.723517968,4.3924117266,5.4905146582,4.3924117266,4.3924117266,3.2943087949
3,24.1166009695,120.5830048476,1446.9960581716,4.8233201939,6.0291502424,4.8233201939,4.8233201939,3.6174901454
4,26.4825102258,132.4125511292,1588.9506135498,5.2965020452,6.6206275565,5.2965020452,5.2965020452,3.9723765339
5,29.0805221162,145.4026105809,1744.8313269702,5.8161044232,7.270130529,5.8161044232,5.8161044232,4.3620783174
6,31.9334065894,159.6670329469,1916.0043953633,6.3866813179,7.9833516473,6.3866813179,6.3866813179,4.7900109884
7,35.0661673931,175.3308369653,2103.9700435836,7.0132334786,8.7665418483,7.0132334786,7.0132334786,5.259925109
8,38.5062612157,192.5313060785,2310.3756729419,7.7012522431,9.6265653039,7.7012522431,7.7012522431,5.7759391824
9,42.2838383275,211.4191916373,2537.0302996472,8.4567676655,10.5709595819,8.4567676655,8.4567676655,6.3425757491
10,46.4320068284,232.1600341418,2785.9204097021,9.2864013657,11.6080017071,9.2864013657,9.2864013657,6.9648010243
11,50.9871228202,254.9356141008,3059.2273692096,10.197424564,12.746780705,10.197424564,10.197424564,7.648068423
12,55.9891090447,279.9455452235,3359.3465426823,11.1978218089,13.9972772612,11.1978218089,11.1978218089,8.3983663567
13,61.4818047819,307.4090239095,3688.9082869142,12.2963609564,15.3704511955,12.2963609564,12.2963609564,9.2222707173
14,67.5133500735,337.5667503676,4050.8010044116,13.5026700147,16.8783375184,13.5026700147,13.5026700147,10.127002511
15,74.1366076406,370.6830382029,4448.1964584346,14.8273215281,18.5341519101,14.8273215281,14.8273215281,11.1204911461
16,81.409626192,407.0481309598,4884.5775715177,16.2819252384,20.352406548,16.2819252384,16.2819252384,12.2114439288
17,89.3961491851,446.9807459255,5363.7689511066,17.879229837,22.3490372963,17.879229837,17.879229837,13.4094223778
18,98.1661734975,490.8308674875,5889.9704098497,19.6332346995,24.5415433744,19.6332346995,19.6332346995,14.7249260246
19,107.7965629055,538.9828145274,6467.7937743288,21.5593125811,26.9491407264,21.5593125811,21.5593125811,16.1694844358
20,118.3717217472,591.8586087361,7102.3033048334,23.6743443494,29.5929304368,23.6743443494,23.6743443494,17.7557582621
21,129.9843346739,649.9216733695,7799.060080434,25.9968669348,32.4960836685,25.9968669348,25.9968669348,19.4976502011
22,142.7361789727,713.6808948634,8564.1707383611,28.5472357945,35.6840447432,28.5472357945,28.5472357945,21.4104268459
23,156.739016581,783.695082905,9404.3409948598,31.3478033162,39.1847541452,31.3478033162,31.3478033162,23.5108524871
24,172.11557361,860.5778680498,10326.9344165978,34.423114722,43.0288934025,34.423114722,34.423114722,25.8173360415
25,189.000615962,945.00307981,11340.0369577201,37.8001231924,47.2501539905,37.8001231924,37.8001231924,28.3500923943
26,207.5421304696,1037.7106523482,12452.5278281784,41.5084260939,51.8855326174,41.5084260939,41.5084260939,31.1313195704
27,227.9026219075,1139.5131095376,13674.1573144513,45.5805243815,56.9756554769,45.5805243815,45.5805243815,34.1853932861
28,250.2605372451,1251.3026862255,15015.6322347056,50.052107449,62.5651343113,50.052107449,50.052107449,37.5390805868
29,274.8118296226,1374.0591481132,16488.7097773583,54.9623659245,68.7029574057,54.9623659245,54.9623659245,41.2217744434
30,301.771675758,1508.8583787899,18106.3005454782,60.3543351516,75.4429189395,60.3543351516,60.3543351516,45.2657513637
31,331.3763618357,1656.8818091787,19882.5817101446,66.2752723671,82.8440904589,66.2752723671,66.2752723671,49.7064542754
32,363.885354408,1819.4267720401,21833.1212644816,72.7770708816,90.971338602,72.7770708816,72.7770708816,54.5828031612
33,399.5835744563,1997.9178722816,23975.0144673789,79.9167148913,99.8958936141,79.9167148913,79.9167148913,59.9375361684
34,438.7838945457,2193.9194727284,26327.0336727402,87.7567789091,109.6959736364,87.7567789091,87.7567789091,65.8175841819
35,481.829880957,2409.1494047851,28909.792857421,96.3659761914,120.4574702393,96.3659761914,96.3659761914,72.2744821436
36,529.0988048307,2645.4940241533,31745.9282898391,105.8197609661,132.2747012077,105.8197609661,105.8197609661,79.3648207246
37,581.0049487118,2905.0247435588,34860.2969227055,116.2009897424,145.2512371779,116.2009897424,116.2009897424,87.1507423068
38,638.0032374777,3190.0161873887,38280.1942486638,127.6006474955,159.5008093694,127.6006474955,127.6006474955,95.7004856217
39,700.5932254701,3502.9661273505,42035.5935282064,140.118645094,175.1483063675,140.118645094,140.118645094,105.0889838205
