SkillID,Level,RequireSP,Value1,Value2,DescriptionNote
SKILL_MULTISHOT,1,1,1.3,9.5,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_MULTISHOT,2,1,1.6,9,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_MULTISHOT,3,1,1.9,8.5,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_MULTISHOT,4,1,2.2,8,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_MULTISHOT,5,2,2.5,7.5,5레벨 데미지 250% / 쿨타임 7.5초 (마스터)
SKILL_FOCUSE_STRIKE,1,1,2.5,14.5,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_FOCUSE_STRIKE,2,1,3,14,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_FOCUSE_STRIKE,3,1,3.5,13.5,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_FOCUSE_STRIKE,4,1,4,13,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_FOCUSE_STRIKE,5,2,4.5,12.5,5레벨 데미지 450% / 쿨타임 12.5초 (마스터)
SKILL_SPRIT_RESONANCE,1,1,0.05,0,1레벨 ATK% (공격력 % 증가) +5%
SKILL_SPRIT_RESONANCE,2,1,0.1,0,2레벨 ATK% (공격력 % 증가) +10%
SKILL_SPRIT_RESONANCE,3,1,0.15,0,3레벨 ATK% (공격력 % 증가) +15%
SKILL_SPRIT_RESONANCE,4,1,0.2,0,4레벨 ATK% (공격력 % 증가) +20%
SKILL_SPRIT_RESONANCE,5,2,0.3,0,5레벨 ATK% (공격력 % 증가) +30% (마스터)
SKILL_ARROW_RAIN,1,1,1.3,9.5,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_ARROW_RAIN,2,1,1.6,9,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_ARROW_RAIN,3,1,1.9,8.5,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_ARROW_RAIN,4,1,2.2,8,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_ARROW_RAIN,5,2,2.5,7.5,5레벨 데미지 250% / 쿨타임 7.5초 (마스터)
SKILL_EARTH_BLESSING,1,1,100,0,1레벨 HP (최대체력 Flat 증가) +100
SKILL_EARTH_BLESSING,2,1,200,0,2레벨 HP (최대체력 Flat 증가) +200
SKILL_EARTH_BLESSING,3,1,300,0,3레벨 HP (최대체력 Flat 증가) +300
SKILL_EARTH_BLESSING,4,1,400,0,4레벨 HP (최대체력 Flat 증가) +400
SKILL_EARTH_BLESSING,5,2,600,0,5레벨 HP (최대체력 Flat 증가) +600 (마스터)
SKILL_SHADOW_TRACKER,1,1,0.05,0.05,"1레벨 MoveSpeed +5%, 보조 스탯 +5%"
SKILL_SHADOW_TRACKER,2,1,0.1,0.1,"2레벨 MoveSpeed +10%, 보조 스탯 +10%"
SKILL_SHADOW_TRACKER,3,1,0.15,0.15,"3레벨 MoveSpeed +15%, 보조 스탯 +15%"
SKILL_SHADOW_TRACKER,4,1,0.2,0.2,"4레벨 MoveSpeed +20%, 보조 스탯 +20%"
