StatId,Level,Bow,Sword,Staff,Armor,Accessory,Enhance,ActiveSkill,PassiveSkill,RuneA,RuneB
ATK_FLAT,1,1,1,1,0,0,1,0,0,0,0
ATK_PERCENT,0,1,1,1,0,1,0,0,1,0,0
ASPD,0,1,1,0,0,1,0,0,1,0,0
CRIT_RATE,0,1,1,1,0,1,0,0,1,0,0
CRIT_DMG,0,1,1,1,0,1,0,0,1,0,0
PROJECTILE_SPEED,0,1,0,0,0,0,0,0,0,0,0
PROJECTILE_RANGE,0,1,0,0,0,0,0,0,0,0,0
LIFESTEAL,0,0,1,0,0,1,0,0,0,0,0
BLOCK_RATE,0,0,1,0,0,0,0,0,0,0,0
MAGIC_DMG,0,0,0,1,0,0,0,0,0,0,0
MANA_REGEN,0,0,0,1,0,0,0,0,0,0,0
SKILL_DMG_PERCENT,0,0,0,1,0,1,0,1,0,0,0
COOLDOWN_REDUCTION,0,0,0,1,0,1,0,0,1,0,0
DEF_FLAT,1,0,0,0,1,0,1,0,1,0,0
HP_FLAT,1,0,0,0,1,1,1,0,1,0,0
HP_REGEN,0,0,0,0,1,1,0,0,0,0,0
DAMAGE_REDUCTION_PERCENT,0,0,0,0,1,1,0,0,0,0,0
STATUS_RESIST_ALL,0,0,0,0,1,1,0,0,0,0,0
MOVE_SPEED,0,0,0,0,0,1,0,0,1,0,0
EXP_GAIN_PERCENT,0,0,0,0,0,1,0,0,0,0,0
