StatId,statName,unitCost,unitDisplay,note
ATK_FLAT,ATK (공격력 Flat),1,ATK +1,기준 단가
ATK_PERCENT,ATK% (공격력 %),8,+1%p,곱연산이라 비쌈
ASPD,ASPD (공속 %),9,+1%p,DPS 직결
CRIT_RATE,CritRate% (치확),10,+1%p,강력 옵션
CRIT_DMG,CritDmg% (치피),8,+10%p,10%p 단위로 가격 책정 (예: +20%p면 16)
SKILL_DMG_PERCENT,SkillDmg% (스킬 피해 증가),9,+1%p,스킬에만 적용이라 ATK%보다 약간 낮게
COOLDOWN_REDUCTION,CooldownReduction (쿨감),14,+1%p,체감/효율 큼
DEF_FLAT,DEF (방어력 Flat),1,DEF +1,"시작은 1, 탱킹 과하면 0.8~0.6으로 조정"
HP_FLAT,HP (최대체력 Flat),1,HP +10,예시 기준
HP_REGEN,HPRegen (체력회복),6,초당 HP +0.1%p,단위 고정 필요 (초당 최대체력% 회복)
DAMAGE_REDUCTION_PERCENT,DamageReduction% (피해감소),18,+1%p,최상급 생존
STATUS_RESIST_ALL,StatusResist (상태이상 저항),6,+1%p,면역보다 약함
MOVE_SPEED,MoveSpeed (이속),12,+1%p,유틸 최상급
EXP_GAIN_PERCENT,ExpGain% (경험치 증가),2,+1%p,비전투 성장(싸게)
