SkillID,Level,RequireSP,StatType1,Value1,StatType2,Value2,DescriptionNote
SKILL_MULTISHOT,1,1,DMG_MULT,1.08,COOLDOWN,6,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_MULTISHOT,2,1,DMG_MULT,1.16,COOLDOWN,5.6,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_MULTISHOT,3,1,DMG_MULT,1.24,COOLDOWN,5.3,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_MULTISHOT,4,1,DMG_MULT,1.32,COOLDOWN,5,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_MULTISHOT,5,1,DMG_MULT,1.4,COOLDOWN,4.6,5레벨 데미지 250% / 쿨타임 7.5초
SKILL_MULTISHOT,6,1,DMG_MULT,1.48,COOLDOWN,4.3,6레벨 데미지 280% / 쿨타임 7.0초
SKILL_MULTISHOT,7,1,DMG_MULT,1.56,COOLDOWN,4,7레벨 데미지 310% / 쿨타임 6.5초
SKILL_MULTISHOT,8,1,DMG_MULT,1.64,COOLDOWN,3.6,8레벨 데미지 340% / 쿨타임 6.0초
SKILL_MULTISHOT,9,1,DMG_MULT,1.72,COOLDOWN,3.3,9레벨 데미지 370% / 쿨타임 5.5초
SKILL_MULTISHOT,10,2,DMG_MULT,1.8,COOLDOWN,3,10레벨 데미지 400% / 쿨타임 5.0초 (마스터)
SKILL_FOCUSE_STRIKE,1,1,DMG_MULT,1.15,COOLDOWN,8,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_FOCUSE_STRIKE,2,1,DMG_MULT,1.25,COOLDOWN,7.6,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_FOCUSE_STRIKE,3,1,DMG_MULT,1.35,COOLDOWN,7.3,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_FOCUSE_STRIKE,4,1,DMG_MULT,1.45,COOLDOWN,7,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_FOCUSE_STRIKE,5,1,DMG_MULT,1.6,COOLDOWN,6.6,5레벨 데미지 450% / 쿨타임 12.5초
SKILL_FOCUSE_STRIKE,6,1,DMG_MULT,1.75,COOLDOWN,6.3,6레벨 데미지 500% / 쿨타임 12.0초
SKILL_FOCUSE_STRIKE,7,1,DMG_MULT,1.9,COOLDOWN,6,7레벨 데미지 550% / 쿨타임 11.5초
SKILL_FOCUSE_STRIKE,8,1,DMG_MULT,2.15,COOLDOWN,5.6,8레벨 데미지 600% / 쿨타임 11.0초
SKILL_FOCUSE_STRIKE,9,1,DMG_MULT,2.3,COOLDOWN,5.3,9레벨 데미지 650% / 쿨타임 10.5초
SKILL_FOCUSE_STRIKE,10,2,DMG_MULT,2.5,COOLDOWN,5,10레벨 데미지 700% / 쿨타임 10.0초 (마스터)
SKILL_SPRIT_RESONANCE,1,1,ATK_PERCENT,1.05,None,0,1레벨 공격력 +5%
SKILL_SPRIT_RESONANCE,2,1,ATK_PERCENT,1.1,None,0,2레벨 공격력 +10%
SKILL_SPRIT_RESONANCE,3,1,ATK_PERCENT,1.15,None,0,3레벨 공격력 +15%
