DropGroupID,StageID,GroupType,Gold,Exp,ItemID,Amount,DropRate
DROP_CH01_ST01_CLEAR_FIRST,CH01_ST01,STAGE_CLEAR_FIRST,350,100,GEN_EQUIP_D_D,1,1
DROP_CH01_ST01_CLEAR_FIRST,CH01_ST01,STAGE_CLEAR_FIRST,350,100,GEN_EQUIP_D_D,1,1
DROP_CH01_ST01_CLEAR_FIRST,CH01_ST01,STAGE_CLEAR_FIRST,350,100,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST01_CLEAR_REPEAT,CH01_ST01,STAGE_CLEAR_REPEAT,100,20,GEN_EQUIP_D_D,1,1
DROP_CH01_ST01_CLEAR_REPEAT,CH01_ST01,STAGE_CLEAR_REPEAT,100,20,GEN_EQUIP_D_D,1,1
DROP_CH01_ST01_CLEAR_REPEAT,CH01_ST01,STAGE_CLEAR_REPEAT,100,20,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST02_CLEAR_FIRST,CH01_ST02,STAGE_CLEAR_FIRST,400,125,GEN_EQUIP_D_D,1,1
DROP_CH01_ST02_CLEAR_FIRST,CH01_ST02,STAGE_CLEAR_FIRST,400,125,GEN_EQUIP_D_D,1,1
DROP_CH01_ST02_CLEAR_FIRST,CH01_ST02,STAGE_CLEAR_FIRST,400,125,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST02_CLEAR_REPEAT,CH01_ST02,STAGE_CLEAR_REPEAT,125,30,GEN_EQUIP_D_D,1,1
DROP_CH01_ST02_CLEAR_REPEAT,CH01_ST02,STAGE_CLEAR_REPEAT,125,30,GEN_EQUIP_D_D,1,1
DROP_CH01_ST02_CLEAR_REPEAT,CH01_ST02,STAGE_CLEAR_REPEAT,125,30,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST03_CLEAR_FIRST,CH01_ST03,STAGE_CLEAR_FIRST,450,150,GEN_EQUIP_D_D,1,1
DROP_CH01_ST03_CLEAR_FIRST,CH01_ST03,STAGE_CLEAR_FIRST,450,150,GEN_EQUIP_D_D,1,1
DROP_CH01_ST03_CLEAR_FIRST,CH01_ST03,STAGE_CLEAR_FIRST,450,150,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST03_CLEAR_REPEAT,CH01_ST03,STAGE_CLEAR_REPEAT,150,40,GEN_EQUIP_D_D,1,1
DROP_CH01_ST03_CLEAR_REPEAT,CH01_ST03,STAGE_CLEAR_REPEAT,150,40,GEN_EQUIP_D_D,1,1
DROP_CH01_ST03_CLEAR_REPEAT,CH01_ST03,STAGE_CLEAR_REPEAT,150,40,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST04_CLEAR_FIRST,CH01_ST04,STAGE_CLEAR_FIRST,500,175,GEN_EQUIP_D_C,1,1
DROP_CH01_ST04_CLEAR_FIRST,CH01_ST04,STAGE_CLEAR_FIRST,500,175,GEN_EQUIP_D_C,1,1
DROP_CH01_ST04_CLEAR_FIRST,CH01_ST04,STAGE_CLEAR_FIRST,500,175,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST04_CLEAR_REPEAT,CH01_ST04,STAGE_CLEAR_REPEAT,200,50,GEN_EQUIP_D_C,1,1
DROP_CH01_ST04_CLEAR_REPEAT,CH01_ST04,STAGE_CLEAR_REPEAT,200,50,GEN_EQUIP_D_C,1,1
DROP_CH01_ST04_CLEAR_REPEAT,CH01_ST04,STAGE_CLEAR_REPEAT,200,50,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST05_CLEAR_FIRST,CH01_ST05,STAGE_CLEAR_FIRST,500,175,GEN_EQUIP_D_C,1,1
DROP_CH01_ST05_CLEAR_FIRST,CH01_ST05,STAGE_CLEAR_FIRST,500,175,GEN_EQUIP_D_C,1,1
DROP_CH01_ST05_CLEAR_FIRST,CH01_ST05,STAGE_CLEAR_FIRST,500,175,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST05_CLEAR_REPEAT,CH01_ST05,STAGE_CLEAR_REPEAT,200,50,GEN_EQUIP_D_C,1,1
DROP_CH01_ST05_CLEAR_REPEAT,CH01_ST05,STAGE_CLEAR_REPEAT,200,50,GEN_EQUIP_D_C,1,1
DROP_CH01_ST05_CLEAR_REPEAT,CH01_ST05,STAGE_CLEAR_REPEAT,200,50,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST06_CLEAR_FIRST,CH01_ST06,STAGE_CLEAR_FIRST,500,175,GEN_EQUIP_D_C,1,1
DROP_CH01_ST06_CLEAR_FIRST,CH01_ST06,STAGE_CLEAR_FIRST,500,175,GEN_EQUIP_D_C,1,1
DROP_CH01_ST06_CLEAR_FIRST,CH01_ST06,STAGE_CLEAR_FIRST,500,175,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST06_CLEAR_REPEAT,CH01_ST06,STAGE_CLEAR_REPEAT,200,50,GEN_EQUIP_D_C,1,1
DROP_CH01_ST06_CLEAR_REPEAT,CH01_ST06,STAGE_CLEAR_REPEAT,200,50,GEN_EQUIP_D_C,1,1
DROP_CH01_ST06_CLEAR_REPEAT,CH01_ST06,STAGE_CLEAR_REPEAT,200,50,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST07_CLEAR_FIRST,CH01_ST07,STAGE_CLEAR_FIRST,650,250,GEN_EQUIP_D_C,1,1
DROP_CH01_ST07_CLEAR_FIRST,CH01_ST07,STAGE_CLEAR_FIRST,650,250,GEN_EQUIP_D_C,1,1
DROP_CH01_ST07_CLEAR_FIRST,CH01_ST07,STAGE_CLEAR_FIRST,650,250,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST07_CLEAR_REPEAT,CH01_ST07,STAGE_CLEAR_REPEAT,350,80,GEN_EQUIP_D_C,1,1
DROP_CH01_ST07_CLEAR_REPEAT,CH01_ST07,STAGE_CLEAR_REPEAT,350,80,GEN_EQUIP_D_C,1,1
DROP_CH01_ST07_CLEAR_REPEAT,CH01_ST07,STAGE_CLEAR_REPEAT,350,80,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST08_CLEAR_FIRST,CH01_ST08,STAGE_CLEAR_FIRST,700,275,GEN_EQUIP_D_C,1,1
DROP_CH01_ST08_CLEAR_FIRST,CH01_ST08,STAGE_CLEAR_FIRST,700,275,GEN_EQUIP_D_C,1,1
DROP_CH01_ST08_CLEAR_FIRST,CH01_ST08,STAGE_CLEAR_FIRST,700,275,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST08_CLEAR_REPEAT,CH01_ST08,STAGE_CLEAR_REPEAT,400,90,GEN_EQUIP_D_C,1,1
DROP_CH01_ST08_CLEAR_REPEAT,CH01_ST08,STAGE_CLEAR_REPEAT,400,90,GEN_EQUIP_D_C,1,1
