domain,profile_id,event_key,vfx_ids,sfx_ids,priority,camera_shake_preset,time_stop_ms,note,0,1,2,3,4,5,6,7,8
Global,global_default,test.basic,TestVFX,TestSFX,1,Light,50,기본 테스트 이펙트,,,,,,,,,
Enemy,enemy_base,attack.melee.hit,HitSpark,SwordHit,2,Medium,30,근접 공격 히트,,,,,,,,,
Enemy,enemy_base,attack.melee.crit,CriticalHit,CriticalSound,3,Heavy,60,크리티컬 근접 공격,,,,,,,,,
Enemy,enemy_base,attack.ranged.fire,MuzzleFlash,BowShoot,2,Light,20,원거리 발사,,,,,,,,,
Enemy,enemy_base,attack.multishot.burst,BurstEffect,MultiShot,3,Medium,40,복합 공격 버스트,,,,,,,,,
Enemy,enemy_base,death.enemy.normal,DeathEffect,DeathSound,2,Medium,100,일반 적 사망,,,,,,,,,
Enemy,enemy_base,death.enemy.boss,BossDeathEffect,BossDeathSound,4,Heavy,200,보스 사망,,,,,,,,,
Enemy,enemy_base,hit.enemy.normal,HitEffect,HitSound,1,Light,20,일반 피격,,,,,,,,,
Enemy,enemy_base,hit.enemy.critical,CritHitEffect,CritHitSound,3,Heavy,80,크리티컬 피격,,,,,,,,,
Enemy,blueslime_profile,attack.melee.hit,SlimeHit,SlimeAttack,2,Medium,35,슬라임 근접 공격,,,,,,,,,
Enemy,blueslime_profile,attack.melee.crit,SlimeCrit,SlimeCritical,3,Heavy,70,슬라임 크리티컬,,,,,,,,,
Player,player_base,test.effect,PlayerVFX,PlayerSFX,1,Light,25,플레이어 테스트,,,,,,,,,
Stage,stage_base,spawn.enemy.normal,SpawnEffect,SpawnSound,2,Light,50,일반 몬스터 스폰,,,,,,,,,
Stage,stage_base,spawn.enemy.boss,BossSpawnEffect,BossSpawnSound,4,Heavy,100,보스 스폰,,,,,,,,,
Stage,stage_base,wave.start,WaveStartEffect,WaveStartSound,3,Medium,80,웨이브 시작,,,,,,,,,
Stage,stage_base,wave.complete,WaveCompleteEffect,WaveCompleteSound,3,Medium,60,웨이브 완료,,,,,,,,,
Stage,stage_base,stage.enter,StageEnterEffect,StageEnterSound,2,Light,40,스테이지 입장,,,,,,,,,
Stage,stage_base,stage.complete,StageCompleteEffect,StageCompleteSound,4,Heavy,120,스테이지 완료,,,,,,,,,
Player,player_base,attack.player.melee,PlayerMeleeVFX,PlayerMeleeSound,2,Medium,30,플레이어 근접 공격,,,,,,,,,
Player,player_base,attack.player.ranged,PlayerRangedVFX,PlayerRangedSound,2,Light,20,플레이어 원거리 공격,,,,,,,,,
Player,player_base,attack.player.critical,PlayerCritVFX,PlayerCritSound,3,Heavy,60,플레이어 크리티컬 공격,,,,,,,,,
Player,player_base,skill.player.skill1,Skill1VFX,Skill1Sound,3,Medium,50,플레이어 스킬1,,,,,,,,,
Player,player_base,skill.player.skill2,Skill2VFX,Skill2Sound,3,Heavy,80,플레이어 스킬2,,,,,,,,,
Player,assasin_profile,attack.player.ranged,AssasinBowVFX,AssasinBowSound,2,Light,25,어쌔신 활 공격,,,,,,,,,
Player,assasin_profile,skill.player.skill1,MultiArrowVFX,MultiArrowSound,3,Medium,40,어쌔신 멀티 애로우,,,,,,,,,
Player,assasin_profile,skill.player.skill2,PowerArrowVFX,PowerArrowSound,3,Heavy,70,어쌔신 파워 애로우,,,,,,,,,
Player,player_base,hit.player.normal,PlayerHitVFX,PlayerHitSound,2,Light,40,플레이어 일반 피격,,,,,,,,,
Player,player_base,hit.player.critical,PlayerCritHitVFX,PlayerCritHitSound,3,Medium,80,플레이어 크리티컬 피격,,,,,,,,,
Player,player_base,death.player,PlayerDeathVFX,PlayerDeathSound,4,Heavy,150,플레이어 사망,,,,,,,,,
Player,player_base,revive.player,PlayerReviveVFX,PlayerReviveSound,3,Medium,100,플레이어 부활,,,,,,,,,
Player,player_base,heal.player,PlayerHealVFX,PlayerHealSound,2,Light,30,플레이어 회복,,,,,,,,,
UI,ui_base,ui.button.click,ButtonClickVFX,ButtonClickSound,1,None,10,버튼 클릭,,,,,,,,,
UI,ui_base,ui.panel.open,PanelOpenVFX,PanelOpenSound,2,Light,20,패널 열기,,,,,,,,,
UI,ui_base,ui.panel.close,PanelCloseVFX,PanelCloseSound,1,None,15,패널 닫기,,,,,,,,,
UI,ui_base,ui.inventory.open,PanelOpenVFX,PanelOpenSound,2,Light,25,인벤토리 열기,,,,,,,,,
UI,ui_base,ui.shop.open,PanelOpenVFX,PanelOpenSound,2,Light,25,상점 열기,,,,,,,,,
UI,ui_base,ui.item.equip,ItemEquipVFX,ItemEquipSound,2,Light,30,아이템 장착,,,,,,,,,
UI,ui_base,ui.item.pickup,ItemPickupVFX,ItemPickupSound,2,Light,25,아이템 획득,,,,,,,,,
UI,ui_base,ui.shop.buy,ShopBuyVFX,ShopBuySound,2,Light,40,상점 구매,,,,,,,,,
UI,ui_base,ui.inventory.full,InventoryFullVFX,InventoryFullSound,1,None,20,인벤토리 가득참,,,,,,,,,
